Header,Line,Category,Identifier,Signature
winnt.h,9235,TYPEDEF_NTAPI,PSECURE_MEMORY_CACHE_CALLBACK,"typedef BOOLEAN (NTAPI *PSECURE_MEMORY_CACHE_CALLBACK) (PVOID Addr， SIZE_T Range);"
winnt.h,9379,TYPEDEF_NTAPI,RTL_VERIFIER_DLL_LOAD_CALLBACK,"typedef VOID (NTAPI *RTL_VERIFIER_DLL_LOAD_CALLBACK) (PWSTR DllName，PVOID DllBase，SIZE_T DllSize，PVOID Reserved);"
winnt.h,9380,TYPEDEF_NTAPI,RTL_VERIFIER_DLL_UNLOAD_CALLBACK,"typedef VOID (NTAPI *RTL_VERIFIER_DLL_UNLOAD_CALLBACK) (PWSTR DllName，PVOID DllBase，SIZE_T DllSize，PVOID Reserved);"
winnt.h,9381,TYPEDEF_NTAPI,RTL_VERIFIER_NTDLLHEAPFREE_CALLBACK,"typedef VOID (NTAPI *RTL_VERIFIER_NTDLLHEAPFREE_CALLBACK)(PVOID AllocationBase，SIZE_T AllocationSize);"
winnt.h,9912,TYPEDEF_NTAPI,PTP_SIMPLE_CALLBACK,"typedef VOID (NTAPI *PTP_SIMPLE_CALLBACK) (PTP_CALLBACK_INSTANCE Instance， PVOID Context);"
winnt.h,9929,TYPEDEF_NTAPI,PTP_CLEANUP_GROUP_CANCEL_CALLBACK,"typedef VOID (NTAPI *PTP_CLEANUP_GROUP_CANCEL_CALLBACK) (PVOID ObjectContext， PVOID CleanupContext);"
winnt.h,9974,TYPEDEF_NTAPI,PTP_WORK_CALLBACK,"typedef VOID (NTAPI *PTP_WORK_CALLBACK) (PTP_CALLBACK_INSTANCE Instance， PVOID Context， PTP_WORK Work);"
winnt.h,9976,TYPEDEF_NTAPI,PTP_TIMER_CALLBACK,"typedef VOID (NTAPI *PTP_TIMER_CALLBACK) (PTP_CALLBACK_INSTANCE Instance， PVOID Context， PTP_TIMER Timer);"
winnt.h,9979,TYPEDEF_NTAPI,PTP_WAIT_CALLBACK,"typedef VOID (NTAPI *PTP_WAIT_CALLBACK) (PTP_CALLBACK_INSTANCE Instance， PVOID Context， PTP_WAIT Wait， TP_WAIT_RESULT WaitResult);"
wingdi.h,2753,TYPEDEF_CALLBACK,OLDFONTENUMPROCA,"typedef int (CALLBACK *OLDFONTENUMPROCA)(CONST LOGFONTA *，CONST TEXTMETRICA *，DWORD，LPARAM);"
wingdi.h,2754,TYPEDEF_CALLBACK,OLDFONTENUMPROCW,"typedef int (CALLBACK *OLDFONTENUMPROCW)(CONST LOGFONTW *，CONST TEXTMETRICW *，DWORD，LPARAM);"
wingdi.h,2758,TYPEDEF_CALLBACK,OLDFONTENUMPROCA,"typedef int (CALLBACK *OLDFONTENUMPROCA)(CONST LOGFONTA *，CONST VOID *，DWORD，LPARAM);"
wingdi.h,2759,TYPEDEF_CALLBACK,OLDFONTENUMPROCW,"typedef int (CALLBACK *OLDFONTENUMPROCW)(CONST LOGFONTW *，CONST VOID *，DWORD，LPARAM);"
wingdi.h,2769,TYPEDEF_CALLBACK,GOBJENUMPROC,"typedef int (CALLBACK *GOBJENUMPROC)(LPVOID，LPARAM);"
wingdi.h,2770,TYPEDEF_CALLBACK,LINEDDAPROC,"typedef VOID (CALLBACK *LINEDDAPROC)(int，int，LPARAM);"
wingdi.h,2832,TYPEDEF_CALLBACK,LPFNDEVMODE,"typedef UINT (CALLBACK *LPFNDEVMODE)(HWND，HMODULE，LPDEVMODE，LPSTR，LPSTR，LPDEVMODE，LPSTR，UINT);"
wingdi.h,2833,TYPEDEF_CALLBACK,LPFNDEVCAPS,"typedef DWORD (CALLBACK *LPFNDEVCAPS)(LPSTR，LPSTR，UINT，LPSTR，LPDEVMODE);"
wingdi.h,3205,TYPEDEF_WINAPI,GDIMARSHALLOC,"typedef PVOID (WINAPI *GDIMARSHALLOC)(DWORD dwSize， LPVOID pGdiRef);"
wingdi.h,3206,TYPEDEF_WINAPI,DDRAWMARSHCALLBACKMARSHAL,"typedef HRESULT (WINAPI *DDRAWMARSHCALLBACKMARSHAL)(HGDIOBJ hGdiObj，"
wingdi.h,3208,TYPEDEF_WINAPI,DDRAWMARSHCALLBACKUNMARSHAL,"typedef HRESULT (WINAPI *DDRAWMARSHCALLBACKUNMARSHAL)(LPVOID pData， HDC *phdc，"
wingdi.h,3210,TYPEDEF_WINAPI,DDRAWMARSHCALLBACKRELEASE,"typedef HRESULT (WINAPI *DDRAWMARSHCALLBACKRELEASE)(LPVOID pDDrawRef);"
wingdi.h,3290,TYPEDEF_CALLBACK,MFENUMPROC,"typedef int (CALLBACK *MFENUMPROC)(HDC hdc，HANDLETABLE *lpht，METARECORD *lpMR，int nObj，LPARAM lParam);"
wingdi.h,3294,TYPEDEF_CALLBACK,ENHMFENUMPROC,"typedef int (CALLBACK *ENHMFENUMPROC)(HDC hdc，HANDLETABLE *lpht，CONST ENHMETARECORD *lpmr，int hHandles，LPARAM data);"
wingdi.h,3398,TYPEDEF_CALLBACK,ABORTPROC,"typedef WINBOOL (CALLBACK *ABORTPROC)(HDC，int);"
wingdi.h,3509,TYPEDEF_CALLBACK,ICMENUMPROCA,"typedef int (CALLBACK *ICMENUMPROCA)(LPSTR，LPARAM);"
wingdi.h,3510,TYPEDEF_CALLBACK,ICMENUMPROCW,"typedef int (CALLBACK *ICMENUMPROCW)(LPWSTR，LPARAM);"
commdlg.h,46,TYPEDEF_CALLBACK,LPOFNHOOKPROC,"typedef UINT_PTR (CALLBACK *LPOFNHOOKPROC) (HWND，UINT，WPARAM，LPARAM);"
commdlg.h,205,TYPEDEF_CALLBACK,LPCCHOOKPROC,"typedef UINT_PTR (CALLBACK *LPCCHOOKPROC) (HWND，UINT，WPARAM，LPARAM);"
commdlg.h,322,TYPEDEF_CALLBACK,LPFRHOOKPROC,"typedef UINT_PTR (CALLBACK *LPFRHOOKPROC) (HWND，UINT，WPARAM，LPARAM);"
commdlg.h,387,TYPEDEF_CALLBACK,LPCFHOOKPROC,"typedef UINT_PTR (CALLBACK *LPCFHOOKPROC) (HWND，UINT，WPARAM，LPARAM);"
commdlg.h,516,TYPEDEF_CALLBACK,LPPRINTHOOKPROC,"typedef UINT_PTR (CALLBACK *LPPRINTHOOKPROC) (HWND，UINT，WPARAM，LPARAM);"
commdlg.h,517,TYPEDEF_CALLBACK,LPSETUPHOOKPROC,"typedef UINT_PTR (CALLBACK *LPSETUPHOOKPROC) (HWND，UINT，WPARAM，LPARAM);"
commdlg.h,716,TYPEDEF_CALLBACK,LPPAGEPAINTHOOK,"typedef UINT_PTR (CALLBACK *LPPAGEPAINTHOOK)(HWND，UINT，WPARAM，LPARAM);"
commdlg.h,717,TYPEDEF_CALLBACK,LPPAGESETUPHOOK,"typedef UINT_PTR (CALLBACK *LPPAGESETUPHOOK)(HWND，UINT，WPARAM，LPARAM);"
